2B00   ⬀  2B01   ⬁  2B02   ⬂  2B03   ⬃  2B04   ⬄  2B05   ⬅  2B06   ⬆  2B07   ⬇
2B08   ⬈  2B09   ⬉  2B0A   ⬊  2B0B   ⬋  2B0C   ⬌  2B0D   ⬍  2B0E   ⬎  2B0F   ⬏
2B10   ⬐  2B11   ⬑  2B12   ⬒  2B13   ⬓  2B14   ⬔  2B15   ⬕  2B16   ⬖  2B17   ⬗
2B18   ⬘  2B19   ⬙  2B1A   ⬚  2B1B   ⬛  2B1C   ⬜  2B1D   ⬝  2B1E   ⬞  2B1F   ⬟
2B20   ⬠  2B21   ⬡  2B22   ⬢  2B23   ⬣  2B24   ⬤  2B25   ⬥  2B26   ⬦  2B27   ⬧
2B28   ⬨  2B29   ⬩  2B2A   ⬪  2B2B   ⬫  2B2C   ⬬  2B2D   ⬭  2B2E   ⬮  2B2F   ⬯
2B30   ⬰  2B31   ⬱  2B32   ⬲  2B33   ⬳  2B34   ⬴  2B35   ⬵  2B36   ⬶  2B37   ⬷
2B38   ⬸  2B39   ⬹  2B3A   ⬺  2B3B   ⬻  2B3C   ⬼  2B3D   ⬽  2B3E   ⬾  2B3F   ⬿
2B40   ⭀  2B41   ⭁  2B42   ⭂  2B43   ⭃  2B44   ⭄  2B45   ⭅  2B46   ⭆  2B47   ⭇
2B48   ⭈  2B49   ⭉  2B4A   ⭊  2B4B   ⭋  2B4C   ⭌  2B4D   ⭍  2B4E   ⭎  2B4F   ⭏
2B50   ⭐  2B51   ⭑  2B52   ⭒  2B53   ⭓  2B54   ⭔  2B55   ⭕  2B56   ⭖  2B57   ⭗
2B58   ⭘  2B59   ⭙  2B5A   ⭚  2B5B   ⭛  2B5C   ⭜  2B5D   ⭝  2B5E   ⭞  2B5F   ⭟
2B60   ⭠  2B61   ⭡  2B62   ⭢  2B63   ⭣  2B64   ⭤  2B65   ⭥  2B66   ⭦  2B67   ⭧
2B68   ⭨  2B69   ⭩  2B6A   ⭪  2B6B   ⭫  2B6C   ⭬  2B6D   ⭭  2B6E   ⭮  2B6F   ⭯
2B70   ⭰  2B71   ⭱  2B72   ⭲  2B73   ⭳  2B74   ⭴  2B75   ⭵  2B76   ⭶  2B77   ⭷
2B78   ⭸  2B79   ⭹  2B7A   ⭺  2B7B   ⭻  2B7C   ⭼  2B7D   ⭽  2B7E   ⭾  2B7F   ⭿
2B80   ⮀  2B81   ⮁  2B82   ⮂  2B83   ⮃  2B84   ⮄  2B85   ⮅  2B86   ⮆  2B87   ⮇
2B88   ⮈  2B89   ⮉  2B8A   ⮊  2B8B   ⮋  2B8C   ⮌  2B8D   ⮍  2B8E   ⮎  2B8F   ⮏
2B90   ⮐  2B91   ⮑  2B92   ⮒  2B93   ⮓  2B94   ⮔  2B95   ⮕  2B96   ⮖  2B97   ⮗
2B98   ⮘  2B99   ⮙  2B9A   ⮚  2B9B   ⮛  2B9C   ⮜  2B9D   ⮝  2B9E   ⮞  2B9F   ⮟

printf() normal
